Name,Year,Rating,Genre,Director,Cast,URL
Ayyappanum Koshiyum,2020,7.8,"Action, Drama, Thriller",Sachy,Biju Menon,"https://m.media-amazon.com/images/M/MV5BYTZmYmI3OWEtNTIwOC00ODcwLWIwMGMtMWYwZWI3YzQ3NDJjXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UX45_CR0,0,45,67_AL_.jpg"
Baahubali: The Beginning,2015,7.8,"Action, Drama",S.S. Rajamouli,Prabhas,"https://m.media-amazon.com/images/M/MV5BYWVlMjVhZWYtNWViNC00ODFkLTk1MmItYjU1MDY5ZDdhMTU3XkEyXkFqcGdeQXVyODIwMDI1NjM@._V1_UY67_CR0,0,45,67_AL_.jpg"
Baby,2015,7.8,"Action, Crime, Thriller",Neeraj Pandey,Akshay Kumar,"https://m.media-amazon.com/images/M/MV5BYTdhNjBjZDctYTlkYy00ZGIxLWFjYTktODk5ZjNlMzI4NjI3XkEyXkFqcGdeQXVyMjY1MjkzMjE@._V1_UY67_CR0,0,45,67_AL_.jpg"
Baishe Srabon,2011,7.8,"Action, Crime, Drama",Srijit Mukherji,Prasenjit Chatterjee,"https://m.media-amazon.com/images/M/MV5BMzVmODczNmUtNWQzNy00ODVlLThjNWEtNWJkMmY4NWRkNzFkXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY67_CR2,0,45,67_AL_.jpg"
Border,1997,7.8,"Action, Drama, History",J.P. Dutta,Sunny Deol,"https://m.media-amazon.com/images/M/MV5BNWYwYmExOWQtYzNkOS00NWY5LWE4NTEtYTcwY2FiYmQ0OTg5XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY67_CR3,0,45,67_AL_.jpg"
Charlie,2015,7.8,"Adventure, Drama, Romance",Martin Prakkat,Dulquer Salmaan,"https://m.media-amazon.com/images/M/MV5BMmZhMzVlNzEtMjQ3ZS00ZGJlLTk4N2YtMDIyNDNmZThhMGVmXkEyXkFqcGdeQXVyMzIyNDI4NjU@._V1_UY67_CR0,0,45,67_AL_.jpg"
Deiva Thirumagal,2011,7.8,Drama,A.L. Vijay,Vikram,"https://m.media-amazon.com/images/M/MV5BZTAxNjUxN2ItYzZjYi00NjMyLTkwZWUtNGM2ZTIxMGRhOTgwXkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_UY67_CR4,0,45,67_AL_.jpg"
Dil Bechara,2020,7.8,"Comedy, Drama, Romance",Mukesh Chhabra,Sushant Singh Rajput,"https://m.media-amazon.com/images/M/MV5BNmI0MTliMTAtMmJhNC00NTJmLTllMzQtMDI3NzA1ODMyZWI1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY67_CR4,0,45,67_AL_.jpg"
Dor,2006,7.8,Drama,Nagesh Kukunoor,Ayesha Takia,"https://m.media-amazon.com/images/M/MV5BYTk3NTVhNjktYTg0OC00ODk1LWE4MjUtMDhkNTY3MTMyMTc0XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY67_CR0,0,45,67_AL_.jpg"
English Vinglish,2012,7.8,"Comedy, Drama, Family",Gauri Shinde,Sridevi,"https://m.media-amazon.com/images/M/MV5BMjQ5YWVmYmYtOWFiZC00NGMxLWEwODctZDM2MWI4YWViN2E5XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UY67_CR1,0,45,67_AL_.jpg"
Gangaajal,2003,7.8,"Action, Crime, Drama",Prakash Jha,Ajay Devgn,"https://m.media-amazon.com/images/M/MV5BYjRjOWViZTgtYjA4Ny00MWJiLTkxYzktMzdlOGRmMWYwOTdjXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY67_CR2,0,45,67_AL_.jpg"
Hindi Medium,2017,7.8,"Comedy, Drama",Saket Chaudhary,Irrfan Khan,"https://m.media-amazon.com/images/M/MV5BY2E4NWQ4ZjEtNThlOC00NThjLThmZjgtMWU0MDgzMmYwOGU3XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY67_CR0,0,45,67_AL_.jpg"
Jab We Met,2007,7.8,"Comedy, Drama, Romance",Imtiaz Ali,Shahid Kapoor,"https://m.media-amazon.com/images/M/MV5BYmIzYmY4MGItM2I4YS00OWZhLWFmMzQtYzI2MWY1MmM3NGU1XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UY67_CR0,0,45,67_AL_.jpg"
Jalsaghar,1958,7.8,"Drama, Music",Satyajit Ray,Chhabi Biswas,"https://m.media-amazon.com/images/M/MV5BYjc5ZmI4MDktZDJjMi00YmYxLTgxODUtMjIxZjhmMjljODZkXkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_UX45_CR0,0,45,67_AL_.jpg"
Johnny Gaddaar,2007,7.8,"Crime, Drama, Mystery",Sriram Raghavan,Dharmendra,"https://m.media-amazon.com/images/M/MV5BNDE4MmU1YTktMzY1OS00NWQ4LWExZmYtZjI3MzJjNGIxZTcxXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY67_CR0,0,45,67_AL_.jpg"
